study_accession	external_trait	source_url	local_raw_file	munged_sumstats_file	raw_file_exists	dataset	dataset_note
GCST90301951	Ratio of conjugated linoleic acid to total fatty acids	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301951/GCST90301951.tsv	D:/metabolic/GCST90301951.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301951.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301952	Creatinine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301952/GCST90301952.tsv	D:/metabolic/GCST90301952.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301952.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301953	Diacylglycerol levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301953/GCST90301953.tsv	D:/metabolic/GCST90301953.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301953.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301954	Ratio of diacylglycerol to triglycerides	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301954/GCST90301954.tsv	D:/metabolic/GCST90301954.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301954.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301955	Docosahexaenoic acid (22:6) levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301955/GCST90301955.tsv	D:/metabolic/GCST90301955.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301955.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301956	Ratio of 22:6 docosahexaenoic acid to total fatty acids	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301956/GCST90301956.tsv	D:/metabolic/GCST90301956.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301956.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301957	Esterified cholesterol levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301957/GCST90301957.tsv	D:/metabolic/GCST90301957.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301957.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301958	Estimated description of fatty acid chain length not actual carbon number	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301958/GCST90301958.tsv	D:/metabolic/GCST90301958.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301958.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301959	Omega-3 fatty acids levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301959/GCST90301959.tsv	D:/metabolic/GCST90301959.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301959.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301960	Ratio of omega-3 fatty acids to total fatty acids	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301960/GCST90301960.tsv	D:/metabolic/GCST90301960.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301960.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301961	Omega-6 fatty acids levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301961/GCST90301961.tsv	D:/metabolic/GCST90301961.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301961.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301962	Ratio of omega-6 fatty acids to total fatty acids	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301962/GCST90301962.tsv	D:/metabolic/GCST90301962.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301962.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301963	Free cholesterol levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301963/GCST90301963.tsv	D:/metabolic/GCST90301963.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301963.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301964	Glucose levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301964/GCST90301964.tsv	D:/metabolic/GCST90301964.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301964.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301965	Glutamine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301965/GCST90301965.tsv	D:/metabolic/GCST90301965.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301965.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301966	Glycerol levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301966/GCST90301966.tsv	D:/metabolic/GCST90301966.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301966.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301967	Glycine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301967/GCST90301967.tsv	D:/metabolic/GCST90301967.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301967.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301968	Glycoprotein acetylation	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301968/GCST90301968.tsv	D:/metabolic/GCST90301968.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301968.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301969	Total cholesterol in HDL2	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301969/GCST90301969.tsv	D:/metabolic/GCST90301969.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301969.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301970	Total cholesterol in HDL3	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301970/GCST90301970.tsv	D:/metabolic/GCST90301970.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301970.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301971	Total cholesterol levels in HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301971/GCST90301971.tsv	D:/metabolic/GCST90301971.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301971.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301972	Mean diameter of HDL particles	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301972/GCST90301972.tsv	D:/metabolic/GCST90301972.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301972.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301973	Triglyceride levels in HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301973/GCST90301973.tsv	D:/metabolic/GCST90301973.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301973.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301974	Histidine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301974/GCST90301974.tsv	D:/metabolic/GCST90301974.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301974.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301975	Total Cholesterol in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301975/GCST90301975.tsv	D:/metabolic/GCST90301975.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301975.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301976	Total cholesterol to total lipids ratio in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301976/GCST90301976.tsv	D:/metabolic/GCST90301976.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301976.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301977	Cholesterol esters in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301977/GCST90301977.tsv	D:/metabolic/GCST90301977.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301977.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301978	Cholesteryl esters to total lipids ratio in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301978/GCST90301978.tsv	D:/metabolic/GCST90301978.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301978.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301979	Free cholesterol in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301979/GCST90301979.tsv	D:/metabolic/GCST90301979.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301979.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301980	Free cholesterol to total lipids ratio in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301980/GCST90301980.tsv	D:/metabolic/GCST90301980.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301980.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301981	Total lipids in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301981/GCST90301981.tsv	D:/metabolic/GCST90301981.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301981.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301982	Concentration of IDL particles	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301982/GCST90301982.tsv	D:/metabolic/GCST90301982.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301982.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301983	Phospholipids in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301983/GCST90301983.tsv	D:/metabolic/GCST90301983.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301983.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301984	Phospholipids to total lipids ratio in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301984/GCST90301984.tsv	D:/metabolic/GCST90301984.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301984.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301985	Triglycerides in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301985/GCST90301985.tsv	D:/metabolic/GCST90301985.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301985.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301986	Triglycerides to total lipids ratio in IDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301986/GCST90301986.tsv	D:/metabolic/GCST90301986.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301986.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301987	Isoleucine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301987/GCST90301987.tsv	D:/metabolic/GCST90301987.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301987.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301988	Linoleic acid (18:2) levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301988/GCST90301988.tsv	D:/metabolic/GCST90301988.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301988.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301989	Ratio of 18:2 linoleic acid to total fatty acids	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301989/GCST90301989.tsv	D:/metabolic/GCST90301989.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301989.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301990	Lactate levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301990/GCST90301990.tsv	D:/metabolic/GCST90301990.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301990.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301991	Total cholesterol levels in LDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301991/GCST90301991.tsv	D:/metabolic/GCST90301991.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301991.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301992	Mean diameter of LDL particles	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301992/GCST90301992.tsv	D:/metabolic/GCST90301992.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301992.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301993	Triglyceride levels in LDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301993/GCST90301993.tsv	D:/metabolic/GCST90301993.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301993.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301994	Leucine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301994/GCST90301994.tsv	D:/metabolic/GCST90301994.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301994.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301995	Total cholesterol in large HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301995/GCST90301995.tsv	D:/metabolic/GCST90301995.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301995.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301996	Total cholesterol to total lipids ratio in large HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301996/GCST90301996.tsv	D:/metabolic/GCST90301996.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301996.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301997	Cholesterol esters in large HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301997/GCST90301997.tsv	D:/metabolic/GCST90301997.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301997.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301998	Cholesteryl esters to total lipids ratio in large HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301998/GCST90301998.tsv	D:/metabolic/GCST90301998.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301998.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301999	Free cholesterol in large HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301999/GCST90301999.tsv	D:/metabolic/GCST90301999.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301999.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90302000	Free cholesterol to total lipids ratio in large HDL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90302000/GCST90302000.tsv	D:/metabolic/GCST90302000.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90302000.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
